bucket	open	high	low	close	volume	count
2023-05-26T11:00:00+05:30	1184.8	1188.4	1184.6	1185.9	1142606	60
2023-05-26T12:00:00+05:30	1186.2	1187.55	1183.5	1185.3	1175898	60
2023-05-26T13:00:00+05:30	1185.3	1189.1	1184.9	1188.8	1019388	60
2023-05-26T14:00:00+05:30	1189.1	1195.8	1188.8	1194.1	2836690	60
2023-05-26T15:00:00+05:30	1194.35	1195.8	1192.7	1195.55	1581492	30
2023-05-29T09:00:00+05:30	1201.5	1205.8	1196.6	1198.0	1834652	45
2023-05-29T10:00:00+05:30	1197.9	1204.1	1194.9	1200.4	1746668	60
2023-05-29T11:00:00+05:30	1200.4	1202.95	1198.95	1201.3	1268278	60
2023-05-29T12:00:00+05:30	1201.45	1201.7	1197.25	1197.7	1508912	60
2023-05-29T13:00:00+05:30	1197.7	1201.75	1197.7	1201.3	1009826	60
2023-05-29T14:00:00+05:30	1201.3	1204.1	1199.4	1201.3	1206462	60
2023-05-29T15:00:00+05:30	1201.3	1202.95	1199.3	1201.0	894638	30
2023-05-30T09:00:00+05:30	1201.3	1205.5	1198.4	1203.7	1406992	45
2023-05-30T10:00:00+05:30	1203.65	1209.45	1201.5	1202.2	1726384	60
2023-05-30T11:00:00+05:30	1202.4	1206.4	1200.1	1200.5	1661110	60
2023-05-30T12:00:00+05:30	1200.5	1204.3	1199.6	1202.2	2222796	60
2023-05-30T13:00:00+05:30	1202.2	1205.3	1201.9	1203.85	1253072	60
2023-05-30T14:00:00+05:30	1203.9	1206.2	1201.45	1202.95	1611992	60
2023-05-30T15:00:00+05:30	1202.95	1202.95	1199.75	1201.3	1016572	30
2023-05-31T09:00:00+05:30	1191.5	1195.75	1184.3	1185.9	3692534	45
2023-05-31T10:00:00+05:30	1185.9	1186.8	1182.2	1184.0	1683200	60
2023-05-31T11:00:00+05:30	1184.0	1184.9	1182.1	1182.85	984344	60
2023-05-31T12:00:00+05:30	1182.65	1184.65	1181.05	1184.1	1154048	60
2023-05-31T13:00:00+05:30	1184.2	1186.6	1182.0	1186.6	1537738	60
2023-05-31T14:00:00+05:30	1186.6	1188.3	1181.4	1182.7	2174048	60
2023-05-31T15:00:00+05:30	1182.7	1183.4	1173.0	1175.8	14769534	30
2023-06-01T09:00:00+05:30	1182.05	1182.05	1173.65	1180.1	1974064	45
2023-06-01T10:00:00+05:30	1180.3	1181.1	1177.2	1178.6	1703578	60
2023-06-01T11:00:00+05:30	1178.3	1184.3	1178.15	1178.15	2470356	60
2023-06-01T12:00:00+05:30	1178.15	1180.4	1176.25	1179.2	1418730	60
2023-06-01T13:00:00+05:30	1179.2	1182.85	1177.2	1179.45	1853100	60
2023-06-01T14:00:00+05:30	1179.6	1180.4	1175.4	1176.7	1996348	60
2023-06-01T15:00:00+05:30	1177.0	1177.2	1171.8	1175.8	2454346	30
2023-06-02T09:00:00+05:30	1177.7	1183.2	1172.0	1172.4	2301302	45
2023-06-02T10:00:00+05:30	1172.25	1174.4	1170.05	1171.6	1479542	60
2023-06-02T11:00:00+05:30	1171.9	1172.85	1168.15	1171.7	4577772	60
2023-06-02T12:00:00+05:30	1171.7	1172.4	1169.6	1171.1	1613596	60
2023-06-02T13:00:00+05:30	1171.15	1176.7	1171.1	1174.35	1556844	60
2023-06-02T14:00:00+05:30	1174.35	1175.5	1168.8	1169.8	1828382	60
2023-06-02T15:00:00+05:30	1169.85	1172.4	1168.6	1170.2	1800422	30
2023-06-05T09:00:00+05:30	1175.9	1178.15	1171.7	1175.3	1713030	45
2023-06-05T10:00:00+05:30	1175.3	1177.2	1173.5	1176.25	1126884	60
2023-06-05T11:00:00+05:30	1176.25	1176.25	1172.95	1174.8	1186566	60
2023-06-05T12:00:00+05:30	1174.75	1176.2	1173.55	1174.6	1153152	60
2023-06-05T13:00:00+05:30	1174.6	1181.35	1174.1	1180.9	1342320	60
2023-06-05T14:00:00+05:30	1180.9	1183.15	1179.6	1181.2	1923212	60
2023-06-05T15:00:00+05:30	1181.2	1183.65	1178.8	1181.95	1965746	30
2023-06-06T09:00:00+05:30	1183.6	1185.5	1179.9	1181.8	1166886	45
2023-06-06T10:00:00+05:30	1181.8	1182.9	1177.9	1179.2	774174	60
2023-06-06T11:00:00+05:30	1179.2	1179.2	1173.9	1175.3	1033822	60
2023-06-06T12:00:00+05:30	1175.3	1177.05	1173.4	1176.7	722776	60
2023-06-06T13:00:00+05:30	1176.7	1178.25	1175.6	1176.0	874056	60
2023-06-06T14:00:00+05:30	1176.0	1178.2	1174.45	1176.7	1026616	60
2023-06-06T15:00:00+05:30	1177.0	1183.9	1176.5	1183.8	1563756	30
